assessment_version,question_code,facet_code,tag_weight
v1,AQ01_F1_Q001,AQ01_F1,1
v1,AQ01_F1_Q002,AQ01_F1,1
v1,AQ01_F1_Q003,AQ01_F1,1
v1,AQ01_F1_Q004,AQ01_F1,1
v1,AQ01_F1_Q005,AQ01_F1,1
v1,AQ01_F1_Q006,AQ01_F1,1
v1,AQ01_F2_Q001,AQ01_F2,1
v1,AQ01_F2_Q002,AQ01_F2,1
v1,AQ01_F2_Q003,AQ01_F2,1
v1,AQ01_F2_Q004,AQ01_F2,1
v1,AQ01_F2_Q005,AQ01_F2,1
v1,AQ01_F2_Q006,AQ01_F2,1
v1,AQ01_F3_Q001,AQ01_F3,1
v1,AQ01_F3_Q002,AQ01_F3,1
v1,AQ01_F3_Q003,AQ01_F3,1
v1,AQ01_F3_Q004,AQ01_F3,1
v1,AQ01_F3_Q005,AQ01_F3,1
v1,AQ01_F4_Q001,AQ01_F4,1
v1,AQ01_F4_Q002,AQ01_F4,1
v1,AQ01_F4_Q003,AQ01_F4,1
v1,AQ01_F4_Q004,AQ01_F4,1
v1,AQ01_F4_Q005,AQ01_F4,1
v1,AQ02_F1_Q001,AQ02_F1,1
v1,AQ02_F1_Q002,AQ02_F1,1
v1,AQ02_F1_Q003,AQ02_F1,1
v1,AQ02_F1_Q004,AQ02_F1,1
v1,AQ02_F1_Q005,AQ02_F1,1
v1,AQ02_F1_Q006,AQ02_F1,1
v1,AQ02_F2_Q001,AQ02_F2,1
v1,AQ02_F2_Q002,AQ02_F2,1
v1,AQ02_F2_Q003,AQ02_F2,1
v1,AQ02_F2_Q004,AQ02_F2,1
v1,AQ02_F2_Q005,AQ02_F2,1
v1,AQ02_F2_Q006,AQ02_F2,1
v1,AQ02_F3_Q001,AQ02_F3,1
v1,AQ02_F3_Q002,AQ02_F3,1
v1,AQ02_F3_Q003,AQ02_F3,1
v1,AQ02_F3_Q004,AQ02_F3,1
v1,AQ02_F3_Q005,AQ02_F3,1
v1,AQ02_F4_Q001,AQ02_F4,1
v1,AQ02_F4_Q002,AQ02_F4,1
v1,AQ02_F4_Q003,AQ02_F4,1
v1,AQ02_F4_Q004,AQ02_F4,1
v1,AQ02_F4_Q005,AQ02_F4,1
v1,AQ03_F1_Q001,AQ03_F1,1
v1,AQ03_F1_Q002,AQ03_F1,1
v1,AQ03_F1_Q003,AQ03_F1,1
v1,AQ03_F1_Q004,AQ03_F1,1
v1,AQ03_F1_Q005,AQ03_F1,1
v1,AQ03_F1_Q006,AQ03_F1,1
v1,AQ03_F2_Q001,AQ03_F2,1
v1,AQ03_F2_Q002,AQ03_F2,1
v1,AQ03_F2_Q003,AQ03_F2,1
v1,AQ03_F2_Q004,AQ03_F2,1
v1,AQ03_F2_Q005,AQ03_F2,1
v1,AQ03_F2_Q006,AQ03_F2,1
v1,AQ03_F3_Q001,AQ03_F3,1
v1,AQ03_F3_Q002,AQ03_F3,1
v1,AQ03_F3_Q003,AQ03_F3,1
v1,AQ03_F3_Q004,AQ03_F3,1
v1,AQ03_F3_Q005,AQ03_F3,1
v1,AQ03_F4_Q001,AQ03_F4,1
v1,AQ03_F4_Q002,AQ03_F4,1
v1,AQ03_F4_Q003,AQ03_F4,1
v1,AQ03_F4_Q004,AQ03_F4,1
v1,AQ03_F4_Q005,AQ03_F4,1
v1,AQ03_F5_Q001,AQ03_F5,1
v1,AQ03_F5_Q002,AQ03_F5,1
v1,AQ03_F5_Q003,AQ03_F5,1
v1,AQ03_F5_Q004,AQ03_F5,1
v1,AQ03_F5_Q005,AQ03_F5,1
v1,AQ04_F1_Q001,AQ04_F1,1
v1,AQ04_F1_Q002,AQ04_F1,1
v1,AQ04_F1_Q003,AQ04_F1,1
v1,AQ04_F1_Q004,AQ04_F1,1
v1,AQ04_F1_Q005,AQ04_F1,1
v1,AQ04_F1_Q006,AQ04_F1,1
v1,AQ04_F2_Q001,AQ04_F2,1
v1,AQ04_F2_Q002,AQ04_F2,1
v1,AQ04_F2_Q003,AQ04_F2,1
v1,AQ04_F2_Q004,AQ04_F2,1
v1,AQ04_F2_Q005,AQ04_F2,1
v1,AQ04_F2_Q006,AQ04_F2,1
v1,AQ04_F3_Q001,AQ04_F3,1
v1,AQ04_F3_Q002,AQ04_F3,1
v1,AQ04_F3_Q003,AQ04_F3,1
v1,AQ04_F3_Q004,AQ04_F3,1
v1,AQ04_F3_Q005,AQ04_F3,1
v1,AQ04_F3_Q006,AQ04_F3,1
v1,AQ04_F4_Q001,AQ04_F4,1
v1,AQ04_F4_Q002,AQ04_F4,1
v1,AQ04_F4_Q003,AQ04_F4,1
v1,AQ04_F4_Q004,AQ04_F4,1
v1,AQ04_F4_Q005,AQ04_F4,1
v1,AQ04_F5_Q001,AQ04_F5,1
v1,AQ04_F5_Q002,AQ04_F5,1
v1,AQ04_F5_Q003,AQ04_F5,1
v1,AQ04_F5_Q004,AQ04_F5,1
v1,AQ04_F5_Q005,AQ04_F5,1
v1,AQ05_F1_Q001,AQ05_F1,1
v1,AQ05_F1_Q002,AQ05_F1,1
v1,AQ05_F1_Q003,AQ05_F1,1
v1,AQ05_F1_Q004,AQ05_F1,1
v1,AQ05_F1_Q005,AQ05_F1,1
v1,AQ05_F1_Q006,AQ05_F1,1
v1,AQ05_F2_Q001,AQ05_F2,1
v1,AQ05_F2_Q002,AQ05_F2,1
v1,AQ05_F2_Q003,AQ05_F2,1
v1,AQ05_F2_Q004,AQ05_F2,1
v1,AQ05_F2_Q005,AQ05_F2,1
v1,AQ05_F2_Q006,AQ05_F2,1
v1,AQ05_F3_Q001,AQ05_F3,1
v1,AQ05_F3_Q002,AQ05_F3,1
v1,AQ05_F3_Q003,AQ05_F3,1
v1,AQ05_F3_Q004,AQ05_F3,1
v1,AQ05_F3_Q005,AQ05_F3,1
v1,AQ05_F4_Q001,AQ05_F4,1
v1,AQ05_F4_Q002,AQ05_F4,1
v1,AQ05_F4_Q003,AQ05_F4,1
v1,AQ05_F4_Q004,AQ05_F4,1
v1,AQ05_F4_Q005,AQ05_F4,1
v1,AQ05_F5_Q001,AQ05_F5,1
v1,AQ05_F5_Q002,AQ05_F5,1
v1,AQ05_F5_Q003,AQ05_F5,1
v1,AQ05_F5_Q004,AQ05_F5,1
v1,AQ05_F5_Q005,AQ05_F5,1
v1,AQ06_F1_Q001,AQ06_F1,1
v1,AQ06_F1_Q002,AQ06_F1,1
v1,AQ06_F1_Q003,AQ06_F1,1
v1,AQ06_F1_Q004,AQ06_F1,1
v1,AQ06_F1_Q005,AQ06_F1,1
v1,AQ06_F1_Q006,AQ06_F1,1
v1,AQ06_F2_Q001,AQ06_F2,1
v1,AQ06_F2_Q002,AQ06_F2,1
v1,AQ06_F2_Q003,AQ06_F2,1
v1,AQ06_F2_Q004,AQ06_F2,1
v1,AQ06_F2_Q005,AQ06_F2,1
v1,AQ06_F2_Q006,AQ06_F2,1
v1,AQ06_F3_Q001,AQ06_F3,1
v1,AQ06_F3_Q002,AQ06_F3,1
v1,AQ06_F3_Q003,AQ06_F3,1
v1,AQ06_F3_Q004,AQ06_F3,1
v1,AQ06_F3_Q005,AQ06_F3,1
v1,AQ06_F3_Q006,AQ06_F3,1
v1,AQ06_F4_Q001,AQ06_F4,1
v1,AQ06_F4_Q002,AQ06_F4,1
v1,AQ06_F4_Q003,AQ06_F4,1
v1,AQ06_F4_Q004,AQ06_F4,1
v1,AQ06_F4_Q005,AQ06_F4,1
v1,AQ06_F4_Q006,AQ06_F4,1
v1,AQ06_F5_Q001,AQ06_F5,1
v1,AQ06_F5_Q002,AQ06_F5,1
v1,AQ06_F5_Q003,AQ06_F5,1
v1,AQ06_F5_Q004,AQ06_F5,1
v1,AQ06_F5_Q005,AQ06_F5,1
v1,AQ07_F1_Q001,AQ07_F1,1
v1,AQ07_F1_Q002,AQ07_F1,1
v1,AQ07_F1_Q003,AQ07_F1,1
v1,AQ07_F1_Q004,AQ07_F1,1
v1,AQ07_F1_Q005,AQ07_F1,1
v1,AQ07_F1_Q006,AQ07_F1,1
v1,AQ07_F2_Q001,AQ07_F2,1
v1,AQ07_F2_Q002,AQ07_F2,1
v1,AQ07_F2_Q003,AQ07_F2,1
v1,AQ07_F2_Q004,AQ07_F2,1
v1,AQ07_F2_Q005,AQ07_F2,1
v1,AQ07_F2_Q006,AQ07_F2,1
v1,AQ07_F2_Q007,AQ07_F2,1
v1,AQ07_F3_Q001,AQ07_F3,1
v1,AQ07_F3_Q002,AQ07_F3,1
v1,AQ07_F3_Q003,AQ07_F3,1
v1,AQ07_F3_Q004,AQ07_F3,1
v1,AQ07_F3_Q005,AQ07_F3,1
v1,AQ07_F3_Q006,AQ07_F3,1
v1,AQ07_F4_Q001,AQ07_F4,1
v1,AQ07_F4_Q002,AQ07_F4,1
v1,AQ07_F4_Q003,AQ07_F4,1
v1,AQ07_F4_Q004,AQ07_F4,1
v1,AQ07_F4_Q005,AQ07_F4,1
v1,AQ07_F5_Q001,AQ07_F5,1
v1,AQ07_F5_Q002,AQ07_F5,1
v1,AQ07_F5_Q003,AQ07_F5,1
v1,AQ07_F5_Q004,AQ07_F5,1
v1,AQ07_F5_Q005,AQ07_F5,1
v1,AQ08_F1_Q001,AQ08_F1,1
v1,AQ08_F1_Q002,AQ08_F1,1
v1,AQ08_F1_Q003,AQ08_F1,1
v1,AQ08_F1_Q004,AQ08_F1,1
v1,AQ08_F1_Q005,AQ08_F1,1
v1,AQ08_F1_Q006,AQ08_F1,1
v1,AQ08_F2_Q001,AQ08_F2,1
v1,AQ08_F2_Q002,AQ08_F2,1
v1,AQ08_F2_Q003,AQ08_F2,1
v1,AQ08_F2_Q004,AQ08_F2,1
v1,AQ08_F2_Q005,AQ08_F2,1
v1,AQ08_F2_Q006,AQ08_F2,1
v1,AQ08_F3_Q001,AQ08_F3,1
v1,AQ08_F3_Q002,AQ08_F3,1
v1,AQ08_F3_Q003,AQ08_F3,1
v1,AQ08_F3_Q004,AQ08_F3,1
v1,AQ08_F3_Q005,AQ08_F3,1
v1,AQ08_F3_Q006,AQ08_F3,1
v1,AQ08_F4_Q001,AQ08_F4,1
v1,AQ08_F4_Q002,AQ08_F4,1
v1,AQ08_F4_Q003,AQ08_F4,1
v1,AQ08_F4_Q004,AQ08_F4,1
v1,AQ08_F4_Q005,AQ08_F4,1
v1,AQ08_F5_Q001,AQ08_F5,1
v1,AQ08_F5_Q002,AQ08_F5,1
v1,AQ08_F5_Q003,AQ08_F5,1
v1,AQ08_F5_Q004,AQ08_F5,1
v1,AQ08_F5_Q005,AQ08_F5,1
v1,AQ09_F1_Q001,AQ09_F1,1
v1,AQ09_F1_Q002,AQ09_F1,1
v1,AQ09_F1_Q003,AQ09_F1,1
v1,AQ09_F1_Q004,AQ09_F1,1
v1,AQ09_F1_Q005,AQ09_F1,1
v1,AQ09_F1_Q006,AQ09_F1,1
v1,AQ09_F2_Q001,AQ09_F2,1
v1,AQ09_F2_Q002,AQ09_F2,1
v1,AQ09_F2_Q003,AQ09_F2,1
v1,AQ09_F2_Q004,AQ09_F2,1
v1,AQ09_F2_Q005,AQ09_F2,1
v1,AQ09_F2_Q006,AQ09_F2,1
v1,AQ09_F3_Q001,AQ09_F3,1
v1,AQ09_F3_Q002,AQ09_F3,1
v1,AQ09_F3_Q003,AQ09_F3,1
v1,AQ09_F3_Q004,AQ09_F3,1
v1,AQ09_F3_Q005,AQ09_F3,1
v1,AQ09_F3_Q006,AQ09_F3,1
v1,AQ09_F4_Q001,AQ09_F4,1
v1,AQ09_F4_Q002,AQ09_F4,1
v1,AQ09_F4_Q003,AQ09_F4,1
v1,AQ09_F4_Q004,AQ09_F4,1
v1,AQ09_F4_Q005,AQ09_F4,1
v1,AQ09_F5_Q001,AQ09_F5,1
v1,AQ09_F5_Q002,AQ09_F5,1
v1,AQ09_F5_Q003,AQ09_F5,1
v1,AQ09_F5_Q004,AQ09_F5,1
v1,AQ09_F5_Q005,AQ09_F5,1
v1,AQ10_F1_Q001,AQ10_F1,1
v1,AQ10_F1_Q002,AQ10_F1,1
v1,AQ10_F1_Q003,AQ10_F1,1
v1,AQ10_F1_Q004,AQ10_F1,1
v1,AQ10_F1_Q005,AQ10_F1,1
v1,AQ10_F1_Q006,AQ10_F1,1
v1,AQ10_F2_Q001,AQ10_F2,1
v1,AQ10_F2_Q002,AQ10_F2,1
v1,AQ10_F2_Q003,AQ10_F2,1
v1,AQ10_F2_Q004,AQ10_F2,1
v1,AQ10_F2_Q005,AQ10_F2,1
v1,AQ10_F2_Q006,AQ10_F2,1
v1,AQ10_F3_Q001,AQ10_F3,1
v1,AQ10_F3_Q002,AQ10_F3,1
v1,AQ10_F3_Q003,AQ10_F3,1
v1,AQ10_F3_Q004,AQ10_F3,1
v1,AQ10_F3_Q005,AQ10_F3,1
v1,AQ10_F4_Q001,AQ10_F4,1
v1,AQ10_F4_Q002,AQ10_F4,1
v1,AQ10_F4_Q003,AQ10_F4,1
v1,AQ10_F4_Q004,AQ10_F4,1
v1,AQ10_F4_Q005,AQ10_F4,1
v1,AQ10_F5_Q001,AQ10_F5,1
v1,AQ10_F5_Q002,AQ10_F5,1
v1,AQ10_F5_Q003,AQ10_F5,1
v1,AQ10_F5_Q004,AQ10_F5,1
v1,AQ10_F5_Q005,AQ10_F5,1
v1,AQ11_F1_Q001,AQ11_F1,1
v1,AQ11_F1_Q002,AQ11_F1,1
v1,AQ11_F1_Q003,AQ11_F1,1
v1,AQ11_F1_Q004,AQ11_F1,1
v1,AQ11_F1_Q005,AQ11_F1,1
v1,AQ11_F1_Q006,AQ11_F1,1
v1,AQ11_F2_Q001,AQ11_F2,1
v1,AQ11_F2_Q002,AQ11_F2,1
v1,AQ11_F2_Q003,AQ11_F2,1
v1,AQ11_F2_Q004,AQ11_F2,1
v1,AQ11_F2_Q005,AQ11_F2,1
v1,AQ11_F3_Q001,AQ11_F3,1
v1,AQ11_F3_Q002,AQ11_F3,1
v1,AQ11_F3_Q003,AQ11_F3,1
v1,AQ11_F3_Q004,AQ11_F3,1
v1,AQ11_F3_Q005,AQ11_F3,1
v1,AQ11_F4_Q001,AQ11_F4,1
v1,AQ11_F4_Q002,AQ11_F4,1
v1,AQ11_F4_Q003,AQ11_F4,1
v1,AQ11_F4_Q004,AQ11_F4,1
v1,AQ11_F4_Q005,AQ11_F4,1
v1,AQ11_F5_Q001,AQ11_F5,1
v1,AQ11_F5_Q002,AQ11_F5,1
v1,AQ11_F5_Q003,AQ11_F5,1
v1,AQ11_F5_Q004,AQ11_F5,1
v1,AQ11_F5_Q005,AQ11_F5,1
v1,AQ12_F1_Q001,AQ12_F1,1
v1,AQ12_F1_Q002,AQ12_F1,1
v1,AQ12_F1_Q003,AQ12_F1,1
v1,AQ12_F1_Q004,AQ12_F1,1
v1,AQ12_F1_Q005,AQ12_F1,1
v1,AQ12_F2_Q001,AQ12_F2,1
v1,AQ12_F2_Q002,AQ12_F2,1
v1,AQ12_F2_Q003,AQ12_F2,1
v1,AQ12_F2_Q004,AQ12_F2,1
v1,AQ12_F2_Q005,AQ12_F2,1
v1,AQ12_F3_Q001,AQ12_F3,1
v1,AQ12_F3_Q002,AQ12_F3,1
v1,AQ12_F3_Q003,AQ12_F3,1
v1,AQ12_F3_Q004,AQ12_F3,1
v1,AQ12_F3_Q005,AQ12_F3,1
v1,AQ12_F4_Q001,AQ12_F4,1
v1,AQ12_F4_Q002,AQ12_F4,1
v1,AQ12_F4_Q003,AQ12_F4,1
v1,AQ12_F4_Q004,AQ12_F4,1
v1,AQ12_F4_Q005,AQ12_F4,1
v1,AQ12_F5_Q001,AQ12_F5,1
v1,AQ12_F5_Q002,AQ12_F5,1
v1,AQ12_F5_Q003,AQ12_F5,1
v1,AQ12_F5_Q004,AQ12_F5,1
v1,AQ12_F5_Q005,AQ12_F5,1
v1,AQ13_F1_Q001,AQ13_F1,1
v1,AQ13_F1_Q002,AQ13_F1,1
v1,AQ13_F1_Q003,AQ13_F1,1
v1,AQ13_F1_Q004,AQ13_F1,1
v1,AQ13_F1_Q005,AQ13_F1,1
v1,AQ13_F1_Q006,AQ13_F1,1
v1,AQ13_F2_Q001,AQ13_F2,1
v1,AQ13_F2_Q002,AQ13_F2,1
v1,AQ13_F2_Q003,AQ13_F2,1
v1,AQ13_F2_Q004,AQ13_F2,1
v1,AQ13_F2_Q005,AQ13_F2,1
v1,AQ13_F2_Q006,AQ13_F2,1
v1,AQ13_F3_Q001,AQ13_F3,1
v1,AQ13_F3_Q002,AQ13_F3,1
v1,AQ13_F3_Q003,AQ13_F3,1
v1,AQ13_F3_Q004,AQ13_F3,1
v1,AQ13_F3_Q005,AQ13_F3,1
v1,AQ13_F4_Q001,AQ13_F4,1
